target,reference
Student=Gemma-3-4B-PT_Teacher=GPT-OSS-120B_Data=OMI(1K)_Template=Chat,google/gemma-3-4b-pt
Student=Gemma-3-4B-PT_Teacher=GPT-OSS-120B_Data=s1(1K)_Template=Chat,google/gemma-3-4b-pt
Student=Gemma-3-4B-PT_Teacher=Nvidia-Llama-3.3-70B-Instruct_Data=s1(1K)_Template=Chat,google/gemma-3-4b-pt
Student=Gemma-3-4B-PT_Teacher=Qwen-3-8B_Data=OMI(1K)_Template=Chat,google/gemma-3-4b-pt
Student=Gemma-3-4B-PT_Teacher=Qwen-3-8B_Data=s1(1K)_Template=Chat,google/gemma-3-4b-pt
Student=Llama-3.2-3B-Instruct_Teacher=Nvidia-Llama-3.3-70B-Instruct_Data=OMI(1K)_Template=Chat,meta-llama/Llama-3.2-3B-Instruct
Student=Llama-3.2-3B-Instruct_Teacher=Nvidia-Llama-3.3-70B-Instruct_Data=s1(1K)_Template=Chat,meta-llama/Llama-3.2-3B-Instruct
Student=Qwen-2.5-1.5B_Teacher=GPT-OSS-120B_Data=OMI(1K)_Template=Chat,Qwen/Qwen2.5-1.5B
Student=Qwen-2.5-1.5B_Teacher=GPT-OSS-120B_Data=s1(1K)_Template=Chat,Qwen/Qwen2.5-1.5B
Student=Qwen-2.5-1.5B_Teacher=Nvidia-Llama-3.3-70B-Instruct_Data=OMI(1K)_Template=Chat,Qwen/Qwen2.5-1.5B
Student=Qwen-2.5-1.5B_Teacher=Nvidia-Llama-3.3-70B-Instruct_Data=s1(1K)_Template=Chat,Qwen/Qwen2.5-1.5B
Student=Qwen-2.5-1.5B_Teacher=Qwen-3-8B_Data=OMI(1K)_Template=Chat,Qwen/Qwen2.5-1.5B
Student=Qwen-2.5-1.5B_Teacher=Qwen-3-8B_Data=s1(1K)_Template=Chat,Qwen/Qwen2.5-1.5B
Student=Qwen-2.5-3B_Teacher=GPT-OSS-120B_Data=OMI(1K)_Template=Chat,Qwen/Qwen2.5-3B
Student=Qwen-2.5-3B_Teacher=GPT-OSS-120B_Data=s1(1K)_Template=Chat,Qwen/Qwen2.5-3B
Student=Qwen-2.5-3B_Teacher=Nvidia-Llama-3.3-70B-Instruct_Data=OMI(1K)_Template=Chat,Qwen/Qwen2.5-3B
Student=Qwen-2.5-3B_Teacher=Nvidia-Llama-3.3-70B-Instruct_Data=s1(1K)_Template=Chat,Qwen/Qwen2.5-3B
Student=Qwen-2.5-3B_Teacher=Qwen-3-8B_Data=OMI(1K)_Template=Chat,Qwen/Qwen2.5-3B
Student=Qwen-2.5-3B_Teacher=Qwen-3-8B_Data=s1(1K)_Template=Chat,Qwen/Qwen2.5-3B
