student_id,student,true_teacher_family,distill_data,probe_prompt,candidate_setting,n_candidates,top_score,second_score,margin,top_vote_frac,vote_margin,top_pairwise_winrate,score_range,paired_diff_skew,paired_diff_p10,paired_diff_p90,label
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=OMI,Gemma-3-4B-PT,GPT-OSS-120B,OMI,s1,with_true,4,0.23129627079264506,-0.08364125079839749,0.31493752159104255,1.0,1.0,1.0,0.40783920908399285,0.11111836459649758,0.2355688060757942,0.3933548050955054,1
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=OMI,Gemma-3-4B-PT,GPT-OSS-120B,OMI,s1,without_true,3,-0.08364125079839749,-0.086560393710204,0.0029191429118065187,0.47,-0.040000000000000036,0.7175,0.0929016874929503,0.03093132492005081,-0.046705102039513856,0.060506123195256264,0
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=OMI,Gemma-3-4B-PT,GPT-OSS-120B,OMI,OMI,with_true,4,0.3894754095501861,-0.10568573189978517,0.49516114144997125,1.0,1.0,1.0,0.5748907158862628,0.48422918134685217,0.3497182176455064,0.6769865001747577,1
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=OMI,Gemma-3-4B-PT,GPT-OSS-120B,OMI,OMI,without_true,3,-0.10568573189978517,-0.11849136592440479,0.012805634024619622,0.56,0.16000000000000003,0.75,0.07972957443629161,0.6808734969831343,-0.04955315566495829,0.07916409740531953,0
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=s1,Gemma-3-4B-PT,GPT-OSS-120B,s1,s1,with_true,4,0.2943515575411319,-0.08180206880250722,0.37615362634363914,1.0,1.0,1.0,0.48962004294576766,0.3783016584506758,0.29700384554869363,0.4589190149623859,1
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=s1,Gemma-3-4B-PT,GPT-OSS-120B,s1,s1,without_true,3,-0.08180206880250722,-0.0943868676761771,0.01258479887366988,0.625,0.26,0.8049999999999999,0.11346641660212854,-0.1625448385899648,-0.04705131649214707,0.06037363870751351,0
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=s1,Gemma-3-4B-PT,GPT-OSS-120B,s1,OMI,with_true,4,0.26989953268509553,-0.09940853514708518,0.36930806783218073,1.0,1.0,1.0,0.45198817503000766,0.2494805285245461,0.2746091503221903,0.47297355927531975,1
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=s1,Gemma-3-4B-PT,GPT-OSS-120B,s1,OMI,without_true,3,-0.09940853514708518,-0.1229653158312392,0.02355678068415401,0.63,0.29,0.785,0.08268010719782691,0.34505422823373055,-0.03590254517025476,0.0977764390410432,0
Gemma-3-4B-PT__teacher=Llama-3.3-70B-Instruct__data=s1,Gemma-3-4B-PT,Llama-3.3-70B-Instruct,s1,s1,with_true,4,0.1894910239086726,-0.005358248346450802,0.19484927225512338,1.0,1.0,1.0,0.26404564064602676,0.3255493976441598,0.10825817690541657,0.3009186047206902,1
Gemma-3-4B-PT__teacher=Llama-3.3-70B-Instruct__data=s1,Gemma-3-4B-PT,Llama-3.3-70B-Instruct,s1,s1,without_true,3,-0.005358248346450802,-0.03706633355408161,0.031708085207630805,0.93,0.865,0.9575,0.06919636839090337,0.6282947912985101,0.006543586094526834,0.05668621947768648,0
